#{"t_start": 1789795640.4167995, "env_id": "Ant-v5"}
r,l,t
903.814354,1000,19.963366
908.870399,1000,20.77342
902.273673,1000,21.574486
875.544797,1000,22.406125
882.279484,1000,23.214328
872.586962,1000,40.85691
846.242885,1000,41.637581
895.040179,1000,42.46654
846.73931,1000,43.263287
861.83981,1000,44.044515
74.117337,130,60.717127
660.283998,1000,61.508816
693.373804,1000,62.305611
383.117273,453,62.655714
691.781572,1000,63.471663
12.751048,13,79.953236
187.727828,196,80.098058
275.754204,438,80.466671
644.215617,1000,81.282207
118.211973,134,81.394175
8.204513,18,98.180347
95.161465,87,98.249165
124.499034,112,98.339665
26.452745,19,98.356619
10.112259,11,98.364598
9
-14.292029,11,6.876453
-19.982411,21,6.900391
-183.231139,128,7.049993
-24.073326,13,7.063954
-133.804403,134,7.201891
-67.588831,63,7.268715
-98.530838,123,7.392833
-18.305819,22,7.414774
-33.997821,18,7.438744
-12.195774,22,7.461709
-120.693506,157,7.639048
-72.05638,41,7.687919
-22.31774,12,7.701884
-45.928002,40,7.743938
-2.195779,58,7.806774
-23.369378,19,7.826718
-18.832223,20,7.849659
0.002539,16,7.86761
-83.6081,90,7.963029
-21.315391,36,7.998924
-1002.558359,1000,10.577112
-57.754872,40,10.626072
-20.413351,19,10.650006
-16.959412,30,10.68591
-32.484259,19,10.713836
-1074.512853,1000,11.768442
-12.737721,12,11.788021
-471.711789,389,12.181375
-31.65136,28,12.209301
-133.227838,74,12.281106
-37.845666,27,12.307037
-1045.25648,1000,14.550625
-19.419164,13,14.566555
-30.06186,22,14.588496
-26.86308,104,14.701812
-24.214515,19,14.719763
-957.189804,951,15.716185
-14.63613,13,15.72815
-13.546665,12,15.743083
-1000.738016,1000,18.019301
-91.798744,66,18.094692
-31.150376,42,18.137245
-18.882403,14,18.153175
-131.028809,107,18.260633
-127.521104,114,18.375835
-92.759279,62,18.438715
-140.753146,118,18.568372
-60.863527,84,18.65512
-31.72689,34,18.691023
-41.472348,47,18.738899
-267.708705,199,18.946716
-20.275513,71,19.016528
-94.530236,114,19.13257
-45.929025,30,23.320526
-46.134908,56,23.376379
-27.985749,22,23.402309
-1099.079544,1000,25.720593
-25.476485,22,25.742536
-59.831217,78,25.829301
-62.391092,36,25.864209
-11.365388,15,25.885153
-65.791502,36,25.927041
-78.798873,93,26.025837
-79.505933,134,26.175092
-20.209149,51,26.224985
-51.486857,65,26.290782
-14.579934,15,26.308732
-1017.215302,1000,28.511992
-75.684539,70,28.582597
-10.84766,19,28.600577
-32.429602,68,28.667246
-30.149325,64,28.739053
-51.493452,41,28.783905
-97.110777,60,28.851837
-48.733608,32,28.883163
-42.938926,22,28.914053
-48.8468,36,28.950953
-40.025111,31,28.980933
-58.411726,76,29.065706
-11.725687,22,29.086651
-95.365181,51,29.136216
-119.164769,131,29.270856
-50.169288,49,29.324685
-28.826642,20,29.345628
-37.024097,54,29.400542
-91.872579,43,29.451376
-171.216464,127,29.580849
-17.359567,29,29.610753
-90.154514,87,29.707086
-24.807601,46,29.752948
-23.533516,14,29.766938
-20.919874,35,29.801844
-69.128964,36,29.84869
-37.467609,26,29.874653
-45.684725,37,29.912553
-91.153612,63,29.977386
-928.20723,1000,32.328605
-1021.969804,1000,33.363513
-105.275575,132,33.503612
-221.282806,116,33.619598
-1028.00308,1000,35.884682
-23.630752,26,35.914577
-23.531486,16,35.930533
-21.490591,34,35.971481
-72.524054,81,36.059246
-32.072774,26,36.094171
-20.67189,21,36.1201
-40.788779,28,36.150054
-155.219177,221,36.39302
-36.108705,26,36.420973
-35.039342,48,36.473803
-215.216807,224,36.703422
-26.430792,43,36.751268
-54.193699,36,36.788168
-35.202816,37,36.825851
-11.906117,21,36.84676
-101.867378,67,36.916603
-18.796242,15,36.931785
-83.306644,69,37.000602
-82.224452,60,37.06044
-27.114216,28,37.088363
-6.234341,59,38.398351
-38.242378,56,38.45919
-27.711499,29,38.488111
-42.457308,20,38.510052
-47.979599,37,38.552939
-28.252161,40,38.592831
-14.786219,14,38.607794
-66.453946,50,38.661103
-37.390277,64,38.725959
-80.121013,98,38.828787
-10.281756,22,38.852694
-10.40408,17,38.86965
-57.808588,61,38.934017
-11.650234,67,39.010812
-8.996008,17,39.029795
-76.036815,60,39.090627
-14.304367,19,39.109186
-24.873373,30,39.14435
-228.846589,185,39.340803
-107.488946,79,39.422486
-48.975637,28,39.451406
-51.500806,46,39.501281
-1008.751664,1000,45.810018
-37.113783,29,45.84293
-18.518602,19,45.873873
9.331573,50,45.940933
-109.992607,163,46.126606
-36.76057,22,46.148548
-13.793846,10,46.158522
-42.124892,62,46.220356
-9.126585,20,46.240305
-53.783963,82,46.321119
-88.331078,62,46.381986
-8.409944,9,46.390964
-56.403656,45,46.439805
-30.824576,27,46.466739
-28.688665,31,46.497656
-18.326764,25,46.522622
-16.809969,16,46.538573
-67.53283,81,46.625989
-150.127157,123,46.751093
-52.362927,66,46.817914
-27.72534,60,46.88091
-7.860289,15,46.895872
29.977517,45,46.941779
-37.283025,23,46.964718
-84.876327,70,47.040372
-34.386927,37,47.077273
-30.184459,29,47.105455
-94.3995,80,47.185306
-11.185485,58,47.247303
-84.893702,54,47.310179
-35.089207,34,47.346057
-45.277244,28,47.374009
-2.888467,23,47.396946
-33.034869,30,47.425869
-27.18619,23,47.448842
-9.380762,18,47.466792
-99.249633,49,47.514643
-12.349669,35,47.548551
-29.507406,50,47.603915
-86.316146,79,47.683044
-51.917314,36,47.717946
-24.002129,24,47.74281
-28.337891,22,47.764781
-46.426288,35,47.799685
-62.156679,29,47.833599
-27.535215,26,47.859557
1.114062,22,47.881469
-23.290526,49,47.930367
-65.530769,39,49.211347
-34.001068,53,49.269201
-13.056596,20,49.293136
-31.690281,67,49.365941
-47.192814,38,49.401844
-41.008539,87,49.485621
-990.018433,1000,50.53572
-13.472005,11,50.546688
-24.906713,36,50.587551
-189.472329,164,50.792011
-7.800663,28,50.820961
-31.358265,27,50.846923
-52.055037,30,50.881802
-24.170765,26,50.90776
-31.362009,17,50.923717
-13.449134,10,50.934661
-0.190309,12,50.946629
-25.755025,43,50.989541
-80.254195,69,51.06335
-49.702468,55,51.117847
-13.704966,18,51.135799
-11.551236,25,51.159708
-83.726331,58,51.22157
16.966522,22,51.245479
-21.912974,57,51.302327
2.721857,20,51.322273
-21.620014,41,52.544788
-12.444294,22,52.566728
-14.227891,17,52.58531
-79.736786,81,52.6732
-30.825682,35,52.708135
-112.049966,88,52.796119
-77.648958,85,52.891248
-44.886364,36,52.929146
-1.537016,14,52.950091
-1.553798,29,52.980015
-24.606325,13,52.993979
-61.397204,45,53.03786
-12.971272,14,53.05282
-966.811015,1000,54.128555
-62.126368,45,54.173435
-9.455689,14,54.187399
-110.748967,141,54.344975
-20.10162,28,54.372901
-943.601333,1000,56.665336
-13.287631,49,56.718194
-37.388005,29,56.7476
-63.462484,62,56.812453
-5.619474,9,56.822115
-101.203046,61,56.886312
-138.521391,129,57.019983
-54.331965,30,57.049167
-97.894624,91,57.141747
-81.618419,132,57.270517
-12.715582,15,57.284479
-40.402806,41,57.32936
-1047.248402,1000,59.564438
-33.12163,34,59.598346
-150.262684,144,59.740252
-73.360996,88,59.825289
-69.980988,37,59.862192
-71.418571,77,59.938301
-0.948708,14,59.954288
-41.163958,27,59.987172
-19.231448,27,60.013099
-3.464385,17,60.030083
-44.89056,29,60.058008
-45.884433,55,60.112539
-4.604348,28,60.141464
-21.749825,12,60.153458
