#{"t_start": 1789796082.8220193, "env_id": "HalfCheetah-v5"}
r,l,t
-6.753458,1000,16.508979
-6.595063,1000,16.989453
-6.101237,1000,17.486136
-5.75557,1000,17.96092
-7.636007,1000,18.441269
-16.956471,1000,31.861659
-17.506129,1000,32.336292
-17.480252,1000,32.817654
-20.061485,1000,33.289399
-17.682586,1000,33.771949
-19.587013,1000,47.117207
2.560268,1000,47.640089
1.990884,1000,48.117887
0.218263,1000,48.587674
1.671486,1000,49.117302
2.270485,1000,62.746658
5.388516,1000,63.254154
-1.33057,1000,63.737332
1.918003,1000,64.223519
0.47897,1000,64.708543
-87.859441,1000,78.254894
-76.132472,1000,78.778451
-81.383064,1000,79.281403
-73.060044,1000,79.769991
-74.421984,1000,80.257021
38.990109
-320.949152,1000,40.758027
-262.875347,1000,41.491143
-324.333075,1000,43.310587
-321.576616,1000,44.050581
-163.768819,1000,45.923571
-291.733293,1000,46.63021
-308.749526,1000,51.093664
-236.998642,1000,51.845487
-235.446976,1000,53.707669
-200.274363,1000,54.425255
-212.052771,1000,56.313818
-222.869567,1000,57.067071
-227.000599,1000,58.894657
-313.03869,1000,59.61472
-186.542112,1000,61.507998
-172.100654,1000,62.244655
-149.081361,1000,66.546815
-161.424749,1000,67.311429
-115.874545,1000,68.032887
-155.343184,1000,69.907177
-212.383798,1000,70.622494
-84.029339,1000,72.489915
-142.070784,1000,73.210424
-141.871254,1000,75.163249
-116.920287,1000,75.887219
-87.958823,1000,77.763576
-82.252517,1000,80.999263
