#{"t_start": 1789798998.3340058, "env_id": "Hopper-v5"}
r,l,t
130.613744,69,15.178242
130.098085,69,15.216141
132.272847,70,15.255096
130.425031,69,15.292997
130.595008,69,15.330924
212.310175,95,28.547087
212.371275,95,28.600985
212.361233,95,28.653869
212.737085,95,28.707849
212.322926,95,28.758719
265.071428,113,41.872091
265.498283,113,41.933925
264.562352,113,41.995763
266.714347,114,42.056597
264.610112,113,42.117434
332.727672,134,55.150436
332.743264,134,55.226374
332.865236,134,55.300653
330.552522,133,55.371464
332.706846,134,55.444275
395.256294,153,68.57447
392.720643,152,68.656409
392.421572,152,68.737869
392.21016,152,68.818649
392.626992,152,68.899438

8.905147,15,3.578168
22.622334,31,3.603102
17.632227,19,3.618061
9.573089,17,3.631026
47.037821,35,3.658951
5.745396,30,3.683857
9.128981,13,3.693479
6.288518,16,3.706444
10.772112,18,3.720409
7.144441,14,3.731377
63.707476,52,3.771274
24.653882,27,3.792217
23.156245,23,3.810678
6.586485,10,3.81867
6.340817,20,3.834621
14.526952,21,3.851577
6.387214,13,3.863554
5.969149,9,3.871521
13.74328,18,3.886481
11.414304,27,3.90845
6.870719,25,3.929428
99.731913,59,3.974305
19.857334,35,4.001796
7.380489,11,4.01077
13.843979,18,4.024705
8.731541,30,4.050636
7.802223,32,4.080555
9.401742,14,4.092524
9.895818,17,4.105489
14.610751,17,4.120449
12.026709,25,4.140395
3.347347,10,4.149372
11.245682,15,4.160342
20.917067,24,4.179894
7.37112,14,4.190865
11.631781,26,4.212833
6.912994,10,4.220785
5.112027,13,4.230757
6.656549,12,4.24076
6.501359,11,4.249735
16.338106,22,4.266661
13.275168,18,4.280324
6.242,12,4.290313
3.618502,9,4.297267
15.038653,24,4.315246
14.326304,21,4.332204
4.770309,18,4.346164
9.310948,12,4.35614
14.605483,21,4.372097
7.619225,17,4.38606
9.295695,13,4.396061
10.822559,23,4.413986
8.627024,13,4.423959
26.401765,25,4.442908
11.398906,13,4.455873
8.358344,13,4.46784
43.40611,32,4.492774
9.756509,12,4.50175
13.242026,21,4.517707
13.286336,22,4.53566
12.442234,37,4.564582
18.393205,32,4.589544
7.058458,13,4.599518
5.644982,12,4.608492
6.65887,10,4.616472
28.339397,30,4.640408
7.135668,13,4.650381
3.959022,9,4.657523
6.193031,13,4.667528
5.052245,9,4.674509
6.88505,13,4.683486
4.474211,8,4.689469
16.347288,26,4.70997
7.356919,11,4.717951
11.848801,14,4.727921
5.731132,9,4.734903
7.942811,13,4.744878
19.067275,23,5.827442
6.740881,11,5.836447
9.92414,17,5.85038
15.636924,18,5.869358
5.383582,9,5.879302
30.575878,28,5.901245
26.83988,31,5.9282
80.852493,70,5.985049
15.858917,29,6.008956
15.362455,32,6.034891
8.615027,14,6.045857
15.137914,23,6.063838
9.41876,18,6.0778
37.430657,41,6.11006
25.545525,40,6.140977
24.503416,23,6.158929
39.120017,49,6.196943
20.402516,24,6.215863
28.772696,26,6.236836
35.788048,36,6.263792
14.784877,16,6.276757
99.779895,101,6.35455
7.046164,13,6.364527
12.805383,19,6.380484
58.432018,40,6.411431
13.750613,17,6.42437
7.357554,11,6.432373
8.225894,18,6.446307
16.109672,16,6.458275
12.488437,18,6.473264
18.997382,20,6.491246
8.797167,18,6.505182
22.338303,32,6.531112
10.851466,15,6.543108
44.116544,37,6.572002
5.831284,18,6.586963
56.761598,43,6.6209
11.359146,15,6.63285
55.470953,40,6.664787
14.497285,15,6.676755
10.990349,14,6.686728
34.575427,43,6.72028
13.365335,20,6.73524
14.418215,18,6.748208
6.052791,11,6.756789
13.910917,16,6.76978
9.59221,16,6.781748
8.549354,14,6.792691
6.517667,14,6.803662
7.1381,13,6.813656
7.228912,11,6.821614
13.819644,16,6.834579
9.517026,18,6.848953
13.367256,18,6.863913
14.838941,24,6.889844
6.427503,10,6.896825
12.258515,29,6.920761
72.241355,61,6.971652
12.667986,16,6.984617
12.976067,18,6.999577
26.891817,24,7.018498
14.042423,26,7.050414
8.012491,11,7.062381
18.025878,23,7.081359
25.304106,39,7.116237
9.387142,12,7.128205
10.988344,15,7.141205
33.815213,35,7.171768
6.668672,10,7.17926
27.112958,26,7.2012
7.024913,11,7.209207
4.090891,9,7.217158
39.064052,60,7.266054
4.882343,8,7.273038
12.334063,19,7.286972
18.836589,22,7.304923
102.958761,66,7.36177
9.165552,18,7.375733
8.65079,13,7.388698
12.717817,33,7.41466
6.596082,22,7.431612
5.990733,10,7.43959
29.870091,27,7.460533
19.517613,20,7.475494
10.41993,28,8.519603
54.236647,39,8.555508
33.576698,29,8.579444
5.869096,11,8.588419
22.224201,23,8.610365
9.240513,19,8.625325
20.861134,21,8.642279
71.084942,43,8.67719
62.374179,56,8.726636
10.171076,21,8.742592
125.474685,74,8.799468
10.219133,36,8.827394
19.77704,25,8.846342
37.179238,49,8.884614
7.386698,10,8.891597
45.553502,35,8.919525
9.023099,12,8.928497
142.594378,77,8.987371
10.577755,18,9.001364
19.338727,35,9.028291
15.548744,20,9.043251
21.856572,22,9.060206
106.964792,59,9.105085
13.312263,23,9.123037
79.25036,61,9.175898
28.817614,27,9.197412
162.402715,85,9.263236
11.269009,21,9.2788
30.671097,28,9.300742
68.694015,43,9.334678
59.19176,42,9.365596
101.079402,63,9.41646
113.353021,66,9.467324
114.982786,61,9.514199
6.300358,14,9.524171
105.754677,67,9.577002
7.47655,31,9.602933
10.003986,17,9.617892
123.624043,85,9.684266
