#{"t_start": 1789802400.5430453, "env_id": "Humanoid-v5"}
r,l,t
335.279125,65,22.421811
287.699289,56,22.472741
286.966759,56,22.526164
294.67531,57,22.579235
319.521236,60,22.634084
364.547734,69,39.01837
407.631828,79,39.100121
334.149313,63,39.162272
358.106287,66,39.226128
326.53473,63,39.284971
357.666786,68,55.70225
336.211223,64,55.762095
356.135611,68,55.829915
420.504208,80,55.906709
347.313568,65,55.967334
446.355934,89,72.627317
423.721492,91,72.713087
260.728849,61,72.764976
326.538481,70,72.827807
268.335889,60,72.879323
427.860443,90,89.481262
347.140801,69,89.5421
512.231302,108,89.642281
310.64474,63,89.697134
336.375563,66,89.757943
6578
102.889682,22,6.19672
70.740134,16,6.218661
76.226307,17,6.240602
132.300722,29,6.273368
78.800779,18,6.298302
84.174344,20,6.322239
65.819308,16,6.341187
111.692456,27,6.374102
85.626011,19,6.395045
80.961927,19,6.415987
75.945064,17,6.432942
129.738307,27,6.461865
76.42177,17,6.477849
130.547291,31,6.513064
99.146962,22,6.535976
84.999267,19,6.554366
84.149363,19,6.574313
100.397655,24,6.598311
81.687784,18,6.617288
86.700782,19,6.636559
83.568234,19,6.655878
78.256718,18,6.674828
71.388889,16,6.689961
76.082075,17,6.706511
167.901478,39,6.747244
75.763433,17,6.764226
71.219333,16,6.780694
148.244062,31,6.812133
88.622809,20,6.83208
75.099185,17,6.848037
80.858663,18,6.866082
91.489732,20,6.886251
71.352304,16,6.903675
75.94032,17,6.921182
88.37124,20,6.941432
76.445213,17,6.958387
85.151301,19,6.977731
76.430293,17,6.994889
113.572411,26,7.02082
102.260521,23,7.047472
90.991629,20,7.068172
162.518098,38,7.107072
79.227438,18,7.125439
75.811808,17,7.142526
75.916786,17,7.159614
126.666112,28,7.190529
84.673181,19,7.210843
90.648106,20,7.230955
99.908115,23,7.253893
76.558045,17,7.270852
72.912139,17,7.286809
81.72056,18,7.304762
76.331057,17,7.3219
86.101046,19,7.343842
80.708062,18,7.361792
71.67167,16,7.378522
84.048042,19,7.397472
85.372301,19,7.416481
155.247305,34,7.451361
130.757288,30,7.481931
112.755948,25,7.507994
68.906599,16,7.523952
86.78056,19,7.542901
175.043504,37,7.58168
141.023935,31,7.61623
80.321163,18,7.634184
75.49501,17,7.651166
115.637642,26,7.68016
116.440245,26,7.707436
74.9887,17,7.72406
73.550509,17,10.646717
75.618109,17,10.66467
162.452738,35,10.702568
75.376049,17,10.719522
160.818664,37,10.76141
76.337801,17,10.779362
71.127972,16,10.795331
85.730705,19,10.815279
75.242106,17,10.83323
109.262951,26,10.861156
92.538869,22,10.884095
121.88885,27,10.914014
128.262682,27,10.944488
80.990548,18,10.961442
137.616856,34,11.00234
134.788691,31,11.03326
69.732605,16,11.048215
123.508962,26,11.075143
80.280463,18,11.093067
75.781965,17,11.11005
95.954488,21,11.130994
76.420572,17,11.147948
75.505828,17,11.163913
129.584866,31,11.194823
152.336109,31,11.227735
80.182248,18,11.245687
84.294665,19,11.264789
75.02849,17,11.281746
179.481777,39,11.321639
75.763776,17,11.338566
75.856831,17,11.35552
93.388765,21,11.376462
82.207648,18,11.395412
97.718957,22,11.418353
100.15626,22,11.440293
80.975164,18,11.458245
88.226761,19,11.477221
70.807726,16,11.492212
101.611171,23,11.516284
91.193095,21,11.537199
88.747302,20,11.557148
80.523476,18,11.576097
70.615612,16,11.592054
108.525812,23,11.615991
68.627705,16,11.631946
95.614874,21,11.655882
71.276835,16,11.671839
75.745983,17,11.68982
104.565887,25,11.716749
95.204884,21,11.738689
81.482788,18,11.759263
110.997536,24,11.788185
94.427337,23,11.817108
94.208038,21,11.838055
146.577756,33,11.872958
91.788386,20,11.892877
80.843044,19,11.911826
173.001637,36,11.954114
92.325765,20,11.975723
71.494757,16,11.997636
110.755086,27,12.024594
101.227476,22,12.047531
96.236992,22,12.069469
107.862364,25,12.095375
80.873541,18,12.116318
110.194545,23,12.140282
156.724802,34,12.176189
68.159962,16,12.194111
81.260254,18,12.212063
136.798372,30,12.246997
75.561838,17,12.264949
125.69134,27,12.293844
99.726373,23,12.317807
124.50404,27,12.34673
97.782683,21,12.370667
76.385951,17,12.387593
71.283761,16,12.406542
76.342897,17,12.425491
76.570445,17,12.443472
132.580355,32,12.478974
110.065592,25,12.503327
157.903577,32,12.546074
79.776143,18,12.567589
91.520458,21,12.597509
149.604958,36,12.639397
81.509996,18,12.657349
184.072466,38,12.700234
124.842267,27,12.727163
95.476857,22,12.749104
167.66216,37,12.788405
75.786178,17,12.804364
75.271149,17,12.821316
86.356299,19,13.989354
109.877352,26,14.016284
118.686618,26,14.047199
76.394289,17,14.064433
136.937221,31,14.098343
66.784154,16,14.119533
76.226557,17,14.138483
77.000047,18,14.160425
87.855237,20,14.18041
86.412453,19,14.199353
88.257514,20,14.219272
112.36269,25,14.245204
71.375819,16,14.26116
117.702391,25,14.288115
94.380919,21,14.309029
88.714369,20,14.328977
76.390488,17,14.347863
81.569592,18,14.366645
113.450408,25,14.39557
75.861033,17,14.412557
104.982205,23,14.435457
209.295015,42,14.479339
100.692364,22,14.501928
83.201159,19,14.527858
80.85894,18,14.544813
76.606382,17,14.561768
76.381194,17,14.577725
92.587125,20,14.597672
93.450765,21,14.619612
111.112357,24,14.644547
100.385488,24,14.669478
81.624136,18,14.688429
76.611027,17,14.705385
75.947924,17,14.724333
81.107003,18,14.742286
102.773652,23,14.76622
85.434466,19,14.78618
97.14605,21,14.810116
178.813015,41,14.855024
80.569514,18,14.872948
84.96952,19,14.891897
111.7618,26,14.918826
76.292409,17,14.934785
68.981562,16,14.950741
98.952289,22,14.974821
76.552013,17,14.991774
79.379084,19,15.011723
76.49391,17,15.029733
210.120049,44,15.078602
76.178731,17,15.095557
75.420418,17,15.112511
169.461726,41,15.156393
133.54018,31,15.188309
128.842893,28,15.216233
127.321045,30,15.247151
162.991144,34,15.283056
79.009824,18,15.301006
74.797213,17,15.318958
89.667503,20,15.338906
145.263282,34,15.374809
104.79479,23,15.397748
120.149411,26,15.425362
91.768597,20,15.444311
104.371909,23,15.469244
86.634285,19,15.488194
152.4375,36,15.527741
114.605237,26,15.553673
76.20001,17,15.570627
149.894806,32,15.602541
100.749165,22,15.62548
86.586915,19,15.644429
84.897056,19,15.662381
87.892518,19,15.682328
208.946551,52,15.735187
103.271355,22,15.758126
92.118498,20,15.778072
95.750873,21,15.799599
121.809,30,15.830109
115.035879,26,15.855574
96.327336,21,15.881506
71.220191,16,15.90342
75.908333,17,15.920375
80.475509,18,15.938327
107.613114,26,15.964315
79.823167,18,15.982666
81.036059,18,16.000618
80.765033,18,16.018598
126.720169,28,16.047492
78.647936,18,16.06644
103.340709,22,16.08841
129.8804,27,17.279903
122.356454,30,17.315807
85.482803,19,17.337746
194.56079,41,17.387299
112.756922,24,17.414228
87.745491,19,17.43919
99.829986,23,17.464148
81.169996,18,17.48215
76.274246,17,17.499701
116.213554,25,17.524634
141.343659,31,17.557654
79.898435,18,17.574609
76.213475,17,17.591594
75.787679,17,17.608545
253.161159,53,17.668357
80.203711,18,17.68631
172.279407,39,17.728198
83.994018,19,17.747147
192.755431,41,17.792026
119.261483,27,17.818955
146.989795,33,17.853862
80.359735,19,17.874427
80.672893,18,17.89238
94.812307,23,17.921302
79.895127,18,17.940249
167.419561,34,17.97982
91.369277,20,18.003726
157.046224,37,18.041625
135.896218,29,18.07354
103.939712,22,18.096477
119.415422,26,18.123407
76.523754,17,18.140361
183.45442,42,18.186265
140.291211,30,18.217155
75.654666,17,18.233113
84.409729,19,18.252062
95.069852,21,18.273006
96.33146,21,18.29395
78.905404,18,18.311902
111.159846,24,18.335838
180.962055,41,18.378723
90.025681,20,18.39867
199.78445,44,18.449534
69.724874,16,18.472473
80.687623,18,18.491058
104.049029,23,18.513008
81.538656,18,18.530954
133.466701,29,18.559874
79.872383,18,18.577826
90.553721,22,18.59877
149.068558,35,18.634661
117.797839,25,18.659579
85.124776,19,18.678556
167.461655,37,18.716457
81.163909,18,18.73341
89.623654,20,18.753545
99.387206,23,18.776484
140.135807,31,18.807434
75.36558,17,18.824392
120.359776,28,18.851319
113.157484,24,18.874258
75.578422,17,18.891215
76.292888,17,18.907164
104.241507,23,18.929108
106.889399,24,18.953042
133.505507,30,18.982996
134.339008,29,19.012507
129.14998,30,19.04542
112.486725,27,19.072347
104.027029,24,19.096283
176.763654,37,19.134182
81.697506,18,19.153131
133.911498,30,19.184021
94.179845,21,19.204965
156.139393,33,19.238905
127.447212,29,19.267824
92.137492,20,19.286773
159.527835,34,19.32168
86.059587,19,19.34063
76.255719,17,19.357943
137.933379,29,19.386866
86.599582,19,19.405815
89.7956,20,20.533623
132.756227,29,20.569528
152.291867,36,20.606428
75.338651,17,20.628368
81.520858,18,20.648316
84.836603,19,20.669261
119.037467,26,20.697185
198.244231,43,20.74309
120.050406,26,20.769019
196.564848,42,20.813904
98.933852,21,20.835845
104.054715,23,20.858812
151.540178,32,20.891723
189.660541,42,20.934612
109.90866,25,20.959543
165.203864,34,20.994102
108.672218,23,21.017043
139.077223,31,21.047879
122.961195,26,21.074804
111.451229,28,21.103727
85.692643,19,21.122649
93.553527,21,21.143593
80.354371,18,21.161573
76.094407,17,21.1785
163.349615,33,21.212409
117.009505,27,21.240333
130.666044,28,21.269286
123.531696,27,21.296214
119.834892,26,21.32314
71.637067,16,21.339104
88.829343,20,21.359016
163.872191,36,21.395946
102.624801,22,21.417887
192.121264,45,21.467753
81.531924,18,21.485705
191.818432,43,21.53126
138.986829,30,21.561177
86.612145,19,21.579136
106.469389,23,21.602068
81.448342,18,21.620026
94.097434,21,21.639967
92.393157,20,21.658919
144.682988,32,21.691828
87.392479,20,21.711775
80.622649,18,21.728732
87.745201,19,21.746683
80.302109,18,21.763829
242.502631,54,21.819682
70.346131,16,21.835668
93.263995,20,21.855614
84.404471,19,21.874563
75.944154,17,21.890492
87.390614,20,21.910439
153.475815,35,21.946371
122.856041,29,21.975302
126.073122,28,22.003413
75.854124,17,22.019372
87.304105,19,22.03932
150.618801,32,22.072235
112.47934,26,22.099159
107.031351,23,22.122098
157.88183,35,22.158003
82.365283,18,22.175954
129.299481,29,22.205875
80.447345,18,22.222829
161.302073,36,22.259732
166.521124,35,22.296631
133.136426,29,22.325526
107.165859,23,22.348493
114.26547,24,22.735436
106.387047,26,22.762391
160.233657,34,22.798298
135.340641,30,22.830181
138.551688,32,22.863678
116.672327,26,22.890605
84.888437,20,22.910551
213.792614,46,22.957454
92.186343,20,22.977962
74.580211,17,24.134816
136.680402,29,24.164737
76.274823,17,24.18568
111.484067,27,24.214604
140.054256,31,24.246518
195.52558,44,24.305361
71.176731,16,24.324311
87.186202,19,24.344258
98.690012,23,24.369717
88.388308,19,24.389692
81.122406,18,24.407645
80.818298,18,24.426594
112.124878,24,24.451198
125.982194,28,24.479122
164.431708,36,24.518684
96.357663,21,24.538629
155.441612,33,24.571542
144.317266,32,24.60545
131.890722,28,24.633376
116.743034,27,24.660304
76.474813,17,24.678256
108.856538,24,24.702165
186.679859,40,24.744053
114.255827,25,24.77001
132.914987,29,24.7995
126.007338,27,24.826425
101.44708,22,24.848366
137.795755,31,24.879284
173.629074,39,24.922169
176.733793,42,24.967049
126.98066,29,24.997599
80.38478,18,25.014555
223.676348,53,25.071156
108.589647,24,25.096089
129.549481,27,25.124015
126.3818,28,25.152941
129.608373,28,25.18186
127.587031,28,25.210128
81.057488,18,25.228105
80.761837,18,25.246057
170.554905,37,25.284952
87.072634,19,25.303056
136.970997,31,25.333973
80.211473,18,25.35193
115.059109,27,25.378854
104.724317,23,25.401793
131.187644,33,25.435705
139.459421,30,25.465621
245.764526,54,25.522071
124.749764,29,25.553018
75.366897,17,25.569971
85.72877,19,25.58892
127.484896,31,25.620193
119.764822,26,25.646123
156.01914,35,25.684022
104.662665,23,25.706962
86.372679,19,25.725911
118.83528,26,25.753835
132.182883,30,25.784725
96.893558,21,25.805669
186.355332,40,25.849552
82.030411,18,25.867504
176.747107,39,25.907423
178.032942,36,25.944325
120.995447,26,25.96992
119.910272,26,25.996819
95.76917,21,26.017849
135.183936,30,26.048767
124.504993,29,26.080373
197.92292,42,26.125282
133.533444,30,26.156172
179.705032,38,26.196092
128.336791,30,26.227009
114.219491,25,26.253937
106.000068,23,27.393841
120.74759,26,27.422764
91.11907,20,27.443708
184.767546,43,27.496567
140.215048,32,27.536297
88.503215,21,27.560844
85.726902,19,27.581789
185.970649,42,27.626694
76.078268,17,27.643644
126.151779,28,27.672546
150.372572,33,27.706485
88.764097,21,27.727435
87.232755,19,27.746379
163.798137,34,27.786273
155.545084,36,27.822168
221.887539,46,27.870106
218.810679,47,27.918975
195.395557,42,27.963855
191.158768,42,28.007304
174.578371,38,28.047197
121.009557,26,28.073432
119.174204,26,28.099364
99.417514,22,28.122302
125.323847,27,28.14923
125.518477,27,28.176159
178.377141,38,28.216052
94.712174,21,28.236994
138.091227,31,28.267911
142.687555,31,28.298831
221.266096,47,28.345703
110.656687,24,28.369639
174.547979,37,28.408535
147.994567,35,28.444439
274.658526,57,28.504892
217.960126,48,28.555756
113.6098,28,28.584678
124.865646,28,28.614601
224.341261,47,28.66743
160.011214,35,28.707322
141.335421,31,28.739265
125.638714,27,28.767192
128.554403,27,28.795123
125.180669,28,28.823041
169.838528,39,28.863932
137.855382,30,28.894849
98.458346,23,28.918785
168.005335,38,28.95768
91.436692,21,28.977879
