#{"t_start": 1789805690.1339798, "env_id": "MicroDuck-v1"}
r,l,t
38.600862,25,19.55925
56.21197,30,19.58119
69.397208,36,19.604936
56.884195,30,19.624883
42.044082,26,19.642835
28.024538,21,36.139879
30.156078,21,36.155837
28.285713,21,36.1698
30.949608,22,36.184789
32.887044,22,36.198751
94.694572,46,53.287219
87.564965,44,53.316044
90.259346,45,53.347619
99.68463,48,53.381253
88.959697,44,53.432669
81.530829,43,69.521391
64.907187,41,69.548317
74.371261,42,69.575246
70.014159,41,69.603143
65.150025,42,69.630071
40.28779,66,85.533491
41.17646,42,85.55923
54.951402,61,85.599235
26.693647,54,85.633981
989.372429,1000,86.304842
58.481582,31,101.267568
61.215152,33,101.28854
60.325307,33,101.310864
67.910444,33,101.330833
57.344453,31,101.35103
3.326527,26,4.725389
63.029587,63,4.786225
5.127574,28,4.812129
14.51895,11,4.826121
24.327983,20,4.850026
-1.323968,35,4.89247
21.518786,12,4.908
15.876314,27,4.934925
32.781315,23,4.966833
23.04013,22,4.99376
32.798751,48,5.042629
17.646222,11,5.052603
23.126297,19,5.07255
19.869006,23,5.094491
12.486438,14,5.107483
22.751569,21,5.126404
31.44417,48,5.171284
28.598462,18,5.187242
46.307585,30,5.216165
14.076768,17,5.232123
24.067536,23,5.25506
26.717283,18,5.272021
36.680824,51,5.325878
19.436476,21,5.35081
16.789495,11,5.361781
26.46435,28,5.392438
8.226724,15,5.410388
18.473974,18,5.428341
13.497971,8,5.436348
27.512138,22,5.458288
10.102113,55,5.510123
28.060983,28,5.53705
19.531665,20,5.556996
7.194087,10,5.565973
25.280071,20,5.587914
20.876603,21,5.606891
28.260885,25,5.629835
1.906898,11,5.644789
-8.388731,45,5.686163
34.996893,27,5.711781
4.637349,13,5.724718
12.883288,14,5.736716
16.763508,12,5.747656
21.450287,23,5.773589
9.181198,12,5.785555
15.350427,12,5.796554
16.389677,27,5.82146
38.505125,28,5.848387
28.833666,36,5.8813
9.153596,16,5.897937
16.329114,17,5.913921
26.511388,22,5.93646
15.742605,20,5.954462
11.978063,15,5.967934
23.615791,24,5.990873
5.72869,11,6.000879
38.73495,31,6.028771
34.495135,37,6.063679
8.626546,27,7.335311
14.258533,20,7.359246
15.936669,22,7.382501
58.891917,33,7.414647
18.057502,22,7.43572
18.328676,21,7.459252
