#{"t_start": 1789799363.266284, "env_id": "Walker2d-v5"}
r,l,t
254.797649,174,17.176056
257.750476,176,17.278361
254.20956,173,17.3772
252.826777,172,17.48127
258.156549,176,17.582001
276.168386,152,30.813686
280.324208,156,30.902015
277.14934,154,30.988812
275.510241,152,31.07661
279.938129,157,31.164371
278.725906,150,44.398474
286.931216,156,44.48482
280.004201,150,44.570621
283.215289,152,44.657417
289.841152,158,44.747561
339.569168,173,57.953966
332.987347,167,58.048741
338.665592,172,58.151496
342.973831,175,58.249797
336.463495,171,58.344108
361.104348,188,71.546046
352.049931,181,71.647804
354.24769,183,71.751554
353.014157,182,71.861292
357.955464,185,71.97945
2,19,5.291395
4.940901,21,5.308349
-2.977844,11,5.317356
0.290619,13,5.327298
-3.55569,13,5.338133
-2.850188,10,5.346308
-0.528754,13,5.356282
4.620543,35,5.384239
1.106331,12,5.394192
-2.875898,10,5.401191
-6.307249,15,5.413159
0.634537,19,5.428118
-7.509329,19,5.443077
2.764208,19,5.45801
4.546566,15,5.470006
6.699931,30,5.493941
4.020473,17,5.507906
3.235641,19,5.522864
-5.799481,26,5.543781
6.550754,24,5.562863
11.773022,31,5.58777
3.18576,25,5.608741
-4.040621,26,5.630682
-1.387363,16,5.643647
-2.103368,10,5.650628
-0.746005,12,5.660603
-3.202898,21,5.677528
1.05173,19,5.693514
-0.936616,16,5.70748
-1.983053,14,5.718449
-5.763314,25,5.738426
-0.38775,28,5.760366
-1.35963,16,5.772501
-0.460689,12,5.782474
3.048148,21,5.798433
-1.148714,17,5.813391
-2.596361,17,5.833338
-1.935589,11,5.842317
-2.101538,15,5.854255
2.078251,29,5.877222
11.569084,38,5.908112
-3.985777,14,5.920106
1.324112,25,5.940024
-5.571829,12,5.949
8.609054,47,5.984905
2.206853,32,6.010835
-2.639922,14,6.021806
-7.567348,19,6.036766
-9.720205,24,6.054745
7.095289,32,6.079712
-1.95052,10,6.087689
1.299403,19,6.102648
2.819781,33,6.130576
-0.827709,13,6.141546
-3.443854,9,6.148499
-3.369999,18,6.163457
0.45165,20,6.179443
1.20313,13,6.189416
7.345198,23,6.208365
1.266947,26,6.228312
-8.491037,23,6.245943
0.482673,15,6.257909
3.883263,23,6.275861
14.406685,33,6.301793
-1.958164,11,6.310766
-1.024778,12,6.319746
-4.905884,9,6.327721
-6.245758,15,6.33969
-5.648228,10,6.347669
1.023148,17,6.360956
2.913495,15,6.372953
-3.693856,14,6.383896
1.854507,15,6.395864
-5.575567,12,6.405838
-0.102284,11,6.414842
-5.838608,21,6.431798
-3.383109,13,6.441769
-5.342274,10,6.449719
-3.806916,29,6.471689
2.0492,17,6.485623
2.774181,13,6.495596
22.496722,42,7.65378
-0.447073,17,7.667742
-0.646943,22,7.685695
1.690155,12,7.694672
-5.316947,19,7.713619
2.342787,14,7.727582
-0.221135,15,7.741544
2.861088,21,7.758499
4.127888,28,7.783439
-6.680805,36,7.813361
6.211513,32,7.839313
18.419579,47,7.876221
3.3893,19,7.890186
-3.619619,23,7.908107
4.450978,18,7.922099
-3.772531,22,7.939024
5.927993,21,7.956007
-2.370336,24,7.974928
0.180845,16,7.987921
8.813084,54,8.028784
-5.585739,14,8.039754
-1.653025,14,8.05076
-7.395116,12,8.060734
-10.314694,18,8.074696
-8.096381,12,8.083672
-0.131367,30,8.107609
-2.68831,29,8.134564
-3.185617,12,8.143513
-1.349204,25,8.16346
7.877036,23,8.182408
2.635724,16,8.194404
2.320964,33,8.220335
6.273194,24,8.239284
-3.550059,12,8.250861
-2.47766,13,8.262801
8.303825,25,8.282749
4.570724,16,8.295748
0.352666,17,8.309325
-2.913616,12,8.319296
-2.163851,11,8.3283
-1.806449,10,8.336279
5.895598,17,8.349218
1.763892,14,8.360216
7.218273,50,8.400158
5.326231,17,8.413139
67.895472,91,8.483925
4.492568,21,8.499911
-2.758988,12,8.508858
4.124023,24,8.527839
10.4021,30,8.551744
-2.74258,20,8.566733
-2.611005,14,8.578556
2.369422,19,8.592491
4.435841,29,8.615458
4.785795,25,8.635404
-8.738207,21,8.651368
0.671118,41,8.683248
11.757318,24,8.7012
-8.84431,20,8.717196
-4.82499,21,8.733114
10.818289,27,8.755056
4.873229,17,8.768647
-0.235565,17,8.781609
0.042403,14,8.792607
6.058821,38,8.822499
-1.777239,14,8.83347
7.637202,25,8.852419
-0.004327,13,8.863418
1.273562,33,8.888351
-1.227003,17,8.902315
1.536788,18,8.916249
1.953909,13,8.926222
7.873756,27,8.948164
-5.016579,11,8.957161
15.620922,52,8.997082
7.142724,19,9.012016
0.975173,20,9.028
-2.46142,11,9.035995
-4.986162,13,9.046949
8.413648,37,9.082884
-0.126164,20,9.098843
0.173975,19,9.114831
-4.893006,14,9.125775
0.78882,19,9.140733
12.640766,31,9.164693
9.713424,37,9.192967
-2.263353,20,9.207954
8.742737,27,9.229897
-3.502718,15,9.240551
-11.928758,19,9.254949
-0.802575,25,10.309506
2.912745,15,10.321476
2.615585,24,10.344414
-3.280212,24,10.363391
5.389532,23,10.382341
7.463096,31,10.408171
-3.01395,14,10.422134
14.168934,45,10.465019
5.69709,24,10.484998
-0.81749,13,10.498929
6.759035,51,10.539848
3.134214,26,10.560822
19.031681,44,10.594703
-3.503065,15,10.606671
-2.096257,16,10.619636
9.346643,48,10.657535
5.424064,24,10.676484
2.012251,13,10.686457
6.896299,22,10.704228
-3.696159,17,10.717194
-4.530276,14,10.728164
25.808993,63,10.776758
8.714777,30,10.800694
0.587111,14,10.811665
4.60486,29,10.833607
0.943752,30,10.857414
16.535641,32,10.882347
-0.778602,16,10.895312
-2.728942,11,10.904288
12.35686,33,10.931216
6.651464,19,10.947174
-1.906479,18,10.961175
4.163696,22,10.978091
-1.766386,10,10.98607
5.620504,28,11.008011
13.636981,39,11.038929
7.261815,23,11.05688
-7.038581,20,11.072733
1.901036,25,11.091682
1.076099,15,11.10365
4.797753,18,11.11861
42.484168,58,11.166482
9.719626,24,11.185431
0.072499,17,11.199394
7.978624,34,11.22587
-8.463752,15,11.237752
-2.500774,26,11.262729
2.939758,19,11.277689
1.088456,17,11.290654
20.07262,41,11.328553
16.222176,51,11.368446
-2.320671,9,11.375427
-0.396088,12,11.385401
